rank;year;title_name;title_id;distributor;release_day;release_month;release_year;worldwide_gross;domestic_gross;foreign_gross;opening_gross;budget;genres
6474;1995;crumb;tt0109508;sony pictures classics;21;4;1995;3041083;3041083;;19859;;biography,comedy,documentary
6475;1994;china moon;tt0109417;orion pictures;4;3;1994;3038499;3038499;;1183843;;crime,drama,mystery,romance,thriller
6476;2011;from prada to nada;tt0893412;lionsgate;28;1;2011;3170303;3033623;136680;1115638;;comedy,drama,romance
6477;2011;melancholia;tt1527186;magnolia pictures;26;5;2011;15946321;3030848;12915473;257174;;drama,scifi
6478;2017;colossal;tt4680182;neon;6;4;2017;4531320;3029287;1502033;120226;;comedy,drama,fantasy,scifi,thriller
4291;2018;eighth grade;tt7014006;a24;13;7;2018;14347433;13539709;807724;263797;;comedy,drama
6480;2017;ingrid goes west;tt5962210;neon;11;8;2017;3146831;3024308;122523;135301;;comedy,drama
6481;2005;g;tt0291928;aloha releasing;16;9;2005;3020784;3020784;;248337;;drama,romance
6482;2015;rock the kasbah;tt3164256;open road films ii;23;10;2015;3394174;3020664;373510;1470592;;comedy,music,war
6483;1998;the last days of disco;tt0120728;gramercy pictures i;29;5;1998;3020601;3020601;;277601;;comedy,drama,music,romance
6484;2012;albert nobbs;tt1602098;roadside attractions;26;12;2011;5634828;3014696;2620132;696088;;drama,romance
6485;1996;basquiat;tt0115632;miramax;9;8;1996;3011195;3011195;;83863;;biography,drama
6486;1981;le dernier metro;tt0080610;metrogoldwynmayer mgm;13;2;1981;3007945;3007945;;;;drama,romance,war
6487;2006;miss potter;tt0482546;mgmweinstein;29;12;2006;35078241;3005605;32072636;9653;;biography,drama
6488;2015;the end of the tour;tt3416744;a24;31;7;2015;3072991;3002884;70107;123238;;biography,drama
6489;2016;the other side of the door;tt3702652;twentieth century fox;24;2;2016;14332467;3000342;11332125;1211210;;horror
6490;1987;sign o the times;tt0093970;cineplex odeon films;20;11;1987;3000973;3000073;900;950116;;documentary,music
6491;1979;hanover street;tt0079268;columbia pictures;18;5;1979;3000000;3000000;;;;action,adventure,drama,romance,war
6492;1983;running brave;tt0086220;walt disney studios motion pictures;4;11;1983;3000000;3000000;;441145;8000000;biography,drama,sport
7429;2018;thugs of hindostan;tt5970844;yash raj films;8;11;2018;14341431;1449848;12891583;1185386;;action,adventure
6494;1986;bullies;tt0090779;universal pictures;29;8;1986;2995527;2995527;;1532605;;action,drama,thriller
6495;1980;north sea hijack;tt0081809;universal pictures;18;4;1980;2993772;2993772;;805511;;action,adventure,thriller
6496;2011;martha marcy may marlene;tt1441326;fox searchlight pictures;21;10;2011;3538446;2990625;547821;137651;;drama,mystery,thriller
6497;1989;fright night part 2;tt0097390;new century;19;5;1989;2983784;2983784;;548231;;comedy,horror,thriller
6498;1998;happiness;tt0147612;good machine;16;10;1998;2982011;2982011;;130303;;comedy,drama
6499;2019;honey boy;tt8151874;amazon studios;7;11;2019;3136806;2980099;156707;301065;;drama
6500;1997;love valour compassion;tt0119578;fine line features;16;5;1997;2977807;2977807;;;;comedy,drama,romance
6501;1982;the challenge;tt0083726;embassy pictures;23;7;1982;2977706;2977706;;;;action,drama
6502;1991;homicide;tt0102048;triumph releasing corporation;11;10;1991;2971661;2971661;;43650;;crime,drama,thriller
